player_id,full_name,team_name,team_abbr,position,salary
203110,Draymond Green,Warriors,GSW,Forward,25892857
1630224,Jalen Green,Suns,PHX,Guard,33584499
1629750,Javonte Green,Pistons,DET,Guard,2296274
201145,Jeff Green,Rockets,HOU,Forward,2296274
1630182,Josh Green,Hornets,CHA,Guard,13666667
1629656,Quentin Grimes,76ers,PHI,Guard,8741209
1631243,Mouhamed Gueye,Hawks,ATL,Forward,2221677
1629060,Rui Hachimura,Lakers,LAL,Forward,18259259
1630169,Tyrese Haliburton,Pacers,IND,Guard,45550512
1641790,PJ Hall,Hornets,CHA,Center,0
203501,Tim Hardaway Jr.,Nuggets,DEN,Guard-Forward,2296274
201935,James Harden,Clippers,LAC,Guard,39182693
1630702,Jaden Hardy,Mavericks,DAL,Guard,6000000
1641989,Elijah Harkless,Jazz,UTA,Guard,0
1642844,Dylan Harper,Spurs,SAS,Guard,12370320
1631199,Ron Harper Jr.,Celtics,BOS,Guard-Forward,0
203914,Gary Harris,Bucks,MIL,Guard,3634153
202699,Tobias Harris,Pistons,DET,Forward,26634146
1628404,Josh Hart,Knicks,NYK,Guard,19472240
1628392,Isaiah Hartenstein,Thunder,OKC,Center-Forward,28500000
1630573,Sam Hauser,Celtics,BOS,Forward,10044644
1641722,Jordan Hawkins,Pelicans,NOP,Guard,4741320
1629637,Jaxson Hayes,Lakers,LAL,Center-Forward,3449323
1628502,Nigel Hayes-Davis,Suns,PHX,Forward,2048494
1630703,Scoot Henderson,Trail Blazers,POR,Guard,10748040
1641707,Taylor Hendricks,Jazz,UTA,Forward,6127080
1642935,Chucky Hepburn,Raptors,TOR,Guard,0
1629639,Tyler Herro,Heat,MIA,Guard,31000000
1627741,Buddy Hield,Warriors,GSW,Guard,9219512
1629312,Haywood Highsmith,Nets,BKN,Forward,5616000
1628988,Aaron Holiday,Rockets,HOU,Guard,2296274
201950,Jrue Holiday,Trail Blazers,POR,Guard,32400000
1641842,Ronald Holland II,Pistons,DET,Forward,8657280
1641747,DaRon Holmes II,Nuggets,DEN,Forward,3218760
1631096,Chet Holmgren,Thunder,OKC,Center-Forward,13731368
201143,Al Horford,Warriors,GSW,Center-Forward,5685000
1631216,Caleb Houstan,Hawks,ATL,Guard,0
1641724,Jett Howard,Magic,ORL,Guard,5529720
1628989,Kevin Huerter,Bulls,CHI,Guard-Forward,17991071
1630643,Jay Huff,Pacers,IND,Center,2349578
1630574,Ariel Hukporti,Knicks,NYK,Center,1955377
1629631,De'Andre Hunter,Cavaliers,CLE,Forward-Guard,23303571
1630538,Bones Hyland,Timberwolves,MIN,Guard,2296274
1642345,Oso Ighodaro,Suns,PHX,Forward,1955377
204060,Joe Ingles,Timberwolves,MIN,Forward-Guard,2296274
1627742,Brandon Ingram,Raptors,TOR,Forward,38095238
1631127,Harrison Ingram,Spurs,SAS,Forward,0
202681,Kyrie Irving,Mavericks,DAL,Guard,36566002
1628371,Jonathan Isaac,Magic,ORL,Forward,15000000
1631093,Jaden Ivey,Pistons,DET,Guard,10107163
1641713,GG Jackson,Grizzlies,MEM,Forward,2221677
1630543,Isaiah Jackson,Pacers,IND,Forward,7600000
1631245,Quenton Jackson,Pacers,IND,Guard,0
1641748,Andre Jackson Jr.,Bucks,MIL,Guard,2221677
1628991,Jaren Jackson Jr.,Grizzlies,MEM,Forward-Center,35000000
1631218,Trayce Jackson-Davis,Warriors,GSW,Forward,2221677
1642857,Kasparas Jakučionis,Heat,MIA,Guard,3658800
1642355,Bronny James,Lakers,LAL,Guard,1955377
2544,LeBron James,Lakers,LAL,Forward,52627153
1642883,Sion James,Hornets,CHA,Guard,2296274
1631170,Jaime Jaquez Jr.,Heat,MIA,Guard,3861600
1641998,Trey Jemison III,Knicks,NYK,Center,0
1642450,Daniss Jenkins,Pistons,DET,Guard,0
1629660,Ty Jerome,Grizzlies,MEM,Guard-Forward,8781000
1630198,Isaiah Joe,Thunder,OKC,Guard,12362338
1642358,AJ Johnson,Wizards,WAS,Guard,3090480
1629661,Cameron Johnson,Nuggets,DEN,Forward,21057065
1643052,Chaney Johnson,Nets,BKN,Guard,0
1630552,Jalen Johnson,Hawks,ATL,Forward,30000000
1629640,Keldon Johnson,Spurs,SAS,Forward-Guard,17500000
1642352,Keshad Johnson,Heat,MIA,Forward,1955377
1642848,Tre Johnson,Wizards,WAS,Guard,8237640
203999,Nikola Jokić,Nuggets,DEN,Center,55224526
1642938,Curtis Jones,Nuggets,DEN,Guard,0
1630529,Herbert Jones,Pelicans,NOP,Forward,13937574
1642403,Isaac Jones,Pistons,DET,Forward,1955377
1642880,Kam Jones,Pacers,IND,Guard,1272870
1642461,Spencer Jones,Nuggets,DEN,Forward,0
1630200,Tre Jones,Bulls,CHI,Guard,8000000
1626145,Tyus Jones,Magic,ORL,Guard,7000000
1642357,David Jones Garcia,Spurs,SAS,Guard,0
1627884,Derrick Jones Jr.,Clippers,LAC,Forward,10000000
201599,DeAndre Jordan,Pelicans,NOP,Center,2269880
1631107,Nikola Jović,Heat,MIA,Forward,4445417
1630548,Johnny Juzang,Timberwolves,MIN,Guard,0
1641750,Ryan Kalkbrenner,Hornets,CHA,Center,2296274
1642530,Yuki Kawamura,Bulls,CHI,Guard,0
1642939,Miles Kelly,Mavericks,DAL,Guard,0
